
Task: list_maximum:
--------------------------------------------------------------------------------------------------------------
Range: min-0.0-max-99.0:
Type: ints
--------------------------------------------------------------------------------------------------------------
min-0.0-max-99.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.0001-bs-128-eps-1000, layer 0, ACC : 54.6
min-0.0-max-99.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.0001-bs-128-eps-2000, layer 0, ACC : 56.0
min-0.0-max-99.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.001-bs-128-eps-1000,  layer 0, ACC : 57.4
min-0.0-max-99.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000,   layer 0, ACC : 61.6

min-0.0-max-99.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.0001-bs-128-eps-1000, layer 1, ACC : 66.6
min-0.0-max-99.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.001-bs-128-eps-1000,  layer 1, ACC : 67.8
min-0.0-max-99.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000,   layer 1, ACC : 78.4

min-0.0-max-99.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.0001-bs-128-eps-1000, layer 2, ACC : 63.6
min-0.0-max-99.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.001-bs-128-eps-1000,  layer 2, ACC : 72.0

min-0.0-max-99.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.0001-bs-128-eps-1000, layer 3, ACC : 59.0
min-0.0-max-99.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000,   layer 3, ACC : 76.6

min-0.0-max-99.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.0001-bs-128-eps-1000, layer 4, ACC : 61.0
min-0.0-max-99.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000,   layer 4, ACC : 77.6

min-0.0-max-99.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.0001-bs-128-eps-1000, layer 5, ACC : 60.0
min-0.0-max-99.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000,   layer 5, ACC : 77.4

min-0.0-max-99.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.0001-bs-128-eps-1000, layer 6, ACC : 65.4
min-0.0-max-99.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000,   layer 6, ACC : 78.2

min-0.0-max-99.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.0001-bs-128-eps-1000, layer 7, ACC : 60.2
min-0.0-max-99.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000,   layer 7, ACC : 79.2

min-0.0-max-99.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.0001-bs-128-eps-1000, layer 8, ACC : 63.8
min-0.0-max-99.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000,   layer 8, ACC : 87.2

min-0.0-max-99.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.0001-bs-128-eps-1000, layer 9, ACC : 61.8
min-0.0-max-99.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000,   layer 9, ACC : 78.4

min-0.0-max-99.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000,   layer 10, ACC : 77.4

min-0.0-max-99.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000,   layer 11, ACC : 77.0
--------------------------------------------------------------------------------------------------------------
Range: min-0.0-max-999.0:
Type: ints
--------------------------------------------------------------------------------------------------------------
min-0.0-max-999.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000,  layer 0, ACC : 62.4

min-0.0-max-999.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000,  layer 1, ACC : 74.4

min-0.0-max-999.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000,  layer 2, ACC : 66.4

min-0.0-max-999.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000,  layer 3, ACC : 66.2

min-0.0-max-999.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000,  layer 4, ACC : 67.2

min-0.0-max-999.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000,  layer 5, ACC : 74.6

min-0.0-max-999.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000,  layer 6, ACC : 69.8

min-0.0-max-999.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000, layer 8, ACC : 70.6

min-0.0-max-999.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000, layer 9, ACC : 67.6

min-0.0-max-999.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000, layer 10, ACC : 66.8

